target,setsize,dyn,resp,rt,sub,exp,correct
Present,12,Static,1,0.99476895663247,1,1,1
Present,16,Static,1,1.45357768610847,1,1,1
Absent,16,Static,2,2.06537672173545,1,1,1
Absent,16,Static,2,2.9006730807796,1,1,1
Absent,16,Static,2,1.70066125669109,1,1,1
Absent,8,Static,2,1.20655628078384,1,1,1
Present,8,Static,1,0.63008310677651,1,1,1
Absent,12,Dynamic,2,3.11245170619623,1,1,1
Present,12,Dynamic,1,0.924164309200933,1,1,1
Absent,12,Dynamic,2,2.17119624275801,1,1,1
Present,16,Dynamic,1,1.00652187614833,1,1,1
Absent,8,Dynamic,2,2.21832556589288,1,1,1
Present,12,Dynamic,1,1.28889060087931,1,1,1
Absent,8,Dynamic,2,1.92419446839267,1,1,1
Present,16,Dynamic,1,0.983028114160334,1,1,1
Absent,16,Dynamic,2,3.37125840567751,1,1,1
Present,16,Dynamic,1,1.23011116346061,1,1,1
Absent,16,Dynamic,2,3.20656853125365,1,1,1
Present,16,Dynamic,1,2.41824011067183,1,1,1
Absent,12,Dynamic,2,3.12427825183295,1,1,1
Present,8,Dynamic,1,0.688887741176586,1,1,1
Present,12,Dynamic,1,1.19478305865778,1,1,1
Present,12,Dynamic,1,0.794787459482905,1,1,1
Absent,8,Dynamic,2,2.77124130126685,1,1,1
Present,16,Dynamic,2,2.91248417105999,1,1,0
Absent,8,Dynamic,2,3.18301058102952,1,1,1
Absent,16,Dynamic,2,2.3830336427618,1,1,1
Absent,16,Dynamic,2,2.80654810065971,1,1,1
Present,8,Dynamic,1,0.606542995768905,1,1,1
Present,8,Dynamic,1,0.759494157960944,1,1,1
Absent,12,Dynamic,2,3.5359596006183,1,1,1
Present,8,Dynamic,1,0.853619488942059,1,1,1
Present,8,Dynamic,1,0.73598091304666,1,1,1
Absent,12,Dynamic,2,2.33598362471639,1,1,1
Absent,16,Dynamic,2,3.2653996855588,1,1,1
Present,12,Dynamic,1,0.747720128851142,1,1,1
Absent,8,Dynamic,2,2.78303621408668,1,1,1
Absent,16,Static,2,2.72421425473294,1,1,1
Present,12,Static,1,0.582989985365202,1,1,1
Absent,12,Static,2,1.79479916828677,1,1,1
Present,8,Static,1,1.0418155211828,1,1,1
Present,12,Static,1,0.724204182288304,1,1,1
Absent,8,Static,2,1.70068259685468,1,1,1
Absent,8,Static,2,1.68892646644235,1,1,1
Absent,12,Static,2,1.93597200112345,1,1,1
Present,16,Static,1,0.712500330813782,1,1,1
Present,16,Static,1,1.21834760510865,1,1,1
Present,12,Static,1,1.23008207189741,1,1,1
Present,16,Static,1,1.08893802253624,1,1,1
Absent,16,Static,2,2.05360964472675,1,1,1
Present,8,Static,1,0.712475354372145,1,1,1
Present,12,Static,1,1.12417496040325,1,1,1
Present,8,Static,1,1.00655286270921,1,1,1
Absent,12,Static,2,1.21831359143471,1,1,1
Absent,8,Static,2,1.79480927849181,1,1,1
Absent,16,Static,2,2.03007194698876,1,1,1
Absent,12,Static,2,1.94774356684138,1,1,1
Present,16,Static,2,1.90065469287765,1,1,0
Present,8,Static,1,0.735916213885503,1,1,1
Absent,8,Static,2,1.85362687711859,1,1,1
Absent,16,Static,2,1.84200866130595,1,1,1
Present,16,Static,1,0.912413063802887,1,1,1
Absent,8,Static,2,1.45362435591596,1,1,1
Absent,16,Static,2,3.07718230847786,1,1,1
Absent,12,Static,2,1.64184671525254,1,1,1
Present,12,Static,1,0.759493711864707,1,1,1
Present,8,Static,1,1.00653403639626,1,1,1
Present,16,Static,1,1.21829661968513,1,1,1
Absent,16,Static,2,2.37127112697272,1,1,1
Present,8,Static,1,0.57125175665351,1,1,1
Present,8,Static,1,0.73594297973068,1,1,1
Absent,8,Static,2,1.63009042979138,1,1,1
Present,8,Static,1,0.700656570163119,1,1,1
Present,12,Static,1,0.94770197953585,1,1,1
Absent,12,Static,2,2.48891732161064,1,1,1
Present,12,Static,1,1.45360791547137,1,1,1
Absent,12,Static,2,2.21833822436383,1,1,1
Absent,8,Static,2,1.26543215309539,1,1,1
Absent,8,Static,2,1.15950224786138,1,1,1
Absent,16,Static,2,1.9477433987613,1,1,1
Present,12,Static,1,0.86538365144952,1,1,1
Absent,12,Static,2,1.9947870010219,1,1,1
Present,16,Static,1,1.12418872927447,1,1,1
Absent,16,Static,2,2.2771438588934,1,1,1
Present,16,Static,1,1.07714116459829,1,1,1
Present,8,Static,1,1.10066710875253,1,1,1
Absent,12,Static,2,1.77126026759106,1,1,1
Present,16,Static,1,1.17131837319721,1,1,1
Absent,12,Static,2,2.44185725384341,1,1,1
Absent,16,Static,2,2.5595106512028,1,1,1
Absent,16,Static,2,1.74772622651835,1,1,1
Present,12,Static,1,1.0183329991778,1,1,1
Absent,8,Static,2,1.31243481464298,1,1,1
Present,8,Static,1,0.947693799080298,1,1,1
Absent,8,Static,2,2.60655874952317,1,1,1
Present,12,Static,1,1.75947196603738,1,1,1
Present,16,Static,1,0.853598154126303,1,1,1
Present,16,Dynamic,1,1.27712187982434,1,1,1
Present,12,Dynamic,1,0.877123528882294,1,1,1
Absent,16,Dynamic,2,2.52420354839705,1,1,1
Absent,12,Dynamic,2,2.3006917216353,1,1,1
Present,16,Dynamic,1,1.85361134657978,1,1,1
Absent,12,Dynamic,2,2.98302233761569,1,1,1
Absent,16,Dynamic,2,2.2653965304653,1,1,1
Present,12,Dynamic,1,1.13595702661951,1,1,1
Present,16,Dynamic,1,0.806607261194586,1,1,1
Present,12,Dynamic,1,1.51243456168777,1,1,1
Present,12,Dynamic,1,1.97128973775398,1,1,1
Present,12,Dynamic,1,2.2771574022081,1,1,1
