Participant;Duration;Tempo;Stimuli_Nu;Decision;Music_Duration
Sub102;3;3;6;1;3.000056636
Sub102;6;1;4;2;6.000057391
Sub102;4;2;4;2;4.000058524
Sub102;7;1;1;2;7.000056259
Sub102;2;2;8;1;2.000057391
Sub102;8;2;1;2;8.000080046
Sub102;2;2;5;1;2.000057391
Sub102;4;1;10;2;4.000057769
Sub102;5;1;4;2;5.000058146
Sub102;8;1;7;2;8.000080423
Sub102;8;3;4;2;8.000080801
Sub102;6;1;1;2;6.000057391
Sub102;5;1;2;2;5.000057014
Sub102;5;2;4;2;5.000057014
Sub102;5;3;6;2;5.000057014
Sub102;8;2;3;2;8.000082689
Sub102;7;2;5;2;7.000081556
Sub102;5;3;3;2;5.000058146
Sub102;7;2;4;2;7.000056259
Sub102;8;3;1;2;8.000081934
Sub102;6;3;9;2;6.000056636
Sub102;7;3;6;2;7.000081556
Sub102;5;2;3;2;5.000057014
Sub102;2;1;10;1;2.000056636
Sub102;2;2;7;1;2.000057391
Sub102;6;3;5;2;6.000057391
Sub102;4;2;4;1;4.000056259
Sub102;6;2;10;2;6.000056259
Sub102;8;3;6;1;8.000080046
Sub102;8;3;8;2;8.000078913
Sub102;6;3;4;2;6.000057014
Sub102;5;1;8;1;5.000057391
Sub102;8;1;10;2;8.000080046
Sub102;8;1;5;2;8.000081178
Sub102;2;3;8;2;2.000058146
Sub102;2;2;1;1;2.000058146
Sub102;4;2;5;1;4.000057391
Sub102;4;3;5;2;4.000070229
Sub102;4;1;3;1;4.000085709
Sub102;2;3;6;1;2.000058524
Sub102;6;2;6;2;6.000081178
Sub102;8;2;2;2;8.000080046
Sub102;5;1;6;2;5.000057391
Sub102;3;2;5;1;3.000057014
Sub102;8;3;3;2;8.000079291
Sub102;2;2;3;1;2.000069474
Sub102;4;1;6;1;4.000057391
Sub102;4;1;4;1;4.000069474
Sub102;4;3;7;1;4.000057014
Sub102;5;3;9;2;5.000057391
Sub102;6;3;10;2;6.000079668
Sub102;6;3;1;2;6.000153295
Sub102;4;3;2;1;4.000056636
Sub102;5;1;4;2;5.000069096
